CL,CD,CM
0.7854,0.02327,-0.0743
0.8934,0.02082,-0.071
1.0013,0.01785,-0.0672
1.108,0.0153,-0.063
1.1705,0.01646,-0.0543
1.1396,0.02074,-0.033
1.1007,0.02748,-0.015
1.0839,0.03538,-0.0028
1.0954,0.04271,0.0051
0.4427,0.02033,-0.0878
0.5332,0.02007,-0.0843
0.6264,0.01957,-0.0809
0.7191,0.01943,-0.0783
0.8179,0.01811,-0.0749
0.9228,0.01571,-0.0713
1.0274,0.0135,-0.0677
1.1207,0.01316,-0.0635
1.168,0.01582,-0.0541
1.1277,0.02052,-0.0319
1.0987,0.02701,-0.0152
1.0954,0.03391,-0.0041
1.1104,0.0408,0.0033
0.4401,0.01805,-0.0847
0.5337,0.01767,-0.0819
0.6293,0.01698,-0.0789
0.7269,0.01541,-0.0748
0.8283,0.01399,-0.072
0.9311,0.01275,-0.0698
1.033,0.01151,-0.0668
1.124,0.01222,-0.0635
1.1611,0.01575,-0.0538
1.119,0.02048,-0.0312
1.1011,0.02649,-0.0158
1.1042,0.03285,-0.0051
1.1233,0.03928,0.0022
0.5071,0.02582,-0.0864
0.5956,0.02548,-0.0819
0.6719,0.02541,-0.0761
0.7733,0.02385,-0.0726
0.8801,0.02145,-0.0693
0.9867,0.01839,-0.0655
1.093,0.01571,-0.0612
1.1563,0.01652,-0.0524
1.1294,0.02018,-0.0313
1.1036,0.02615,-0.0149
1.0939,0.03375,-0.0042
1.0995,0.04188,0.0032
0.4482,0.02168,-0.0894
0.535,0.02146,-0.0855
0.6198,0.02161,-0.0823
0.7128,0.02056,-0.0782
0.811,0.01894,-0.0744
0.915,0.01643,-0.0708
1.0188,0.01406,-0.0672
1.112,0.01334,-0.0626
1.1562,0.01577,-0.0525
1.1168,0.01989,-0.0299
1.0997,0.02574,-0.015
1.104,0.03245,-0.0055
1.1128,0.04025,0.0017
0.4483,0.01934,-0.0866
0.5388,0.01901,-0.0836
0.6312,0.01839,-0.0804
0.7265,0.01715,-0.0768
0.8253,0.01546,-0.0734
0.9275,0.01334,-0.07
1.0287,0.01178,-0.0667
1.1175,0.01227,-0.0629
1.1486,0.01561,-0.0519
1.1078,0.01979,-0.0291
1.0997,0.02533,-0.0153
1.1134,0.03136,-0.0066
1.1248,0.03888,0.0005
0.1999,0.01931,-0.0404
0.3098,0.01918,-0.0408
0.4261,0.0187,-0.0423
0.5428,0.01799,-0.0434
0.6591,0.01675,-0.0437
0.7782,0.01521,-0.0447
0.8826,0.01492,-0.0429
0.9696,0.01736,-0.0407
1.0475,0.02022,-0.0375
1.114,0.02363,-0.0332
1.1656,0.02765,-0.0276
1.2151,0.03294,-0.0237
1.2615,0.03853,-0.0194
0.2122,0.01683,-0.0437
0.3283,0.01657,-0.0453
0.4471,0.01612,-0.047
0.5623,0.01541,-0.0475
0.6822,0.01438,-0.0489
0.7964,0.01324,-0.0488
0.8981,0.01416,-0.0476
0.985,0.01651,-0.045
1.0694,0.01917,-0.0428
1.1397,0.02229,-0.0386
1.1916,0.02607,-0.0327
1.2361,0.03151,-0.0288
1.2789,0.03757,-0.0252
0.2224,0.01498,-0.0465
0.3389,0.01473,-0.0477
0.4587,0.01431,-0.0497
0.5752,0.0136,-0.0503
0.6938,0.01276,-0.0516
0.8073,0.01207,-0.0515
0.9052,0.01362,-0.05
0.9958,0.01586,-0.0481
1.0833,0.0183,-0.046
1.158,0.02117,-0.0422
1.2114,0.02481,-0.0361
1.2596,0.02979,-0.0324
1.2992,0.03596,-0.0293
0.209,0.01938,-0.0401
0.3208,0.01907,-0.0413
0.4346,0.01858,-0.0424
0.5479,0.01768,-0.0426
0.666,0.0166,-0.0439
0.7774,0.01525,-0.0433
0.8797,0.01525,-0.0417
0.9571,0.01728,-0.0369
1.0329,0.01969,-0.0328
1.1001,0.0224,-0.028
1.1534,0.02558,-0.0218
1.1953,0.03022,-0.0168
1.2192,0.03506,-0.0098
0.2255,0.0168,-0.0447
0.342,0.01651,-0.0468
0.4546,0.01593,-0.0468
0.573,0.01521,-0.0485
0.6861,0.01428,-0.0484
0.8001,0.01348,-0.0488
0.8921,0.01431,-0.0454
0.9755,0.01647,-0.0421
1.052,0.0187,-0.0377
1.1216,0.02114,-0.0328
1.1785,0.02413,-0.027
1.2225,0.02889,-0.0226
1.2607,0.0346,-0.0191
0.235,0.01493,-0.0474
0.3528,0.01465,-0.0493
0.4671,0.01413,-0.0498
0.5861,0.01347,-0.0514
0.6993,0.01275,-0.0515
0.8108,0.01238,-0.0515
0.9005,0.01371,-0.0481
0.9862,0.0158,-0.045
1.0667,0.01785,-0.0411
1.1417,0.02009,-0.0369
1.1995,0.02282,-0.0306
1.2462,0.0273,-0.0261
1.2847,0.0332,-0.0228
0.2316,0.0207,-0.0449
0.3352,0.0204,-0.0449
0.4374,0.0202,-0.0445
0.5522,0.01926,-0.0452
0.6624,0.01836,-0.0453
0.7716,0.01704,-0.0446
0.8741,0.01581,-0.0426
0.9499,0.01605,-0.0357
0.9938,0.01822,-0.025
1.0333,0.02123,-0.0154
1.0758,0.0247,-0.0083
1.1069,0.02855,-0.0001
1.1429,0.0334,0.004
0.2483,0.01788,-0.0496
0.359,0.01757,-0.0508
0.4668,0.01731,-0.0506
0.5809,0.01645,-0.0515
0.6909,0.01567,-0.0512
0.7994,0.01472,-0.0507
0.8948,0.01398,-0.0472
0.963,0.01527,-0.0396
1.0042,0.01744,-0.0282
1.051,0.02031,-0.0198
1.0972,0.02392,-0.0135
1.1438,0.02809,-0.0091
0.2584,0.01584,-0.0525
0.3701,0.01557,-0.0535
0.4834,0.01528,-0.0542
0.5958,0.01457,-0.0547
0.7068,0.01387,-0.0546
0.8134,0.01319,-0.0538
0.9039,0.013,-0.0495
0.9689,0.0147,-0.0416
1.0143,0.01678,-0.0308
1.0655,0.01954,-0.023
1.1147,0.02298,-0.0169
1.1631,0.02726,-0.0129
1.2044,0.03219,-0.0091
0.5522,0.01228,-0.1322
0.6976,0.01147,-0.1369
0.8113,0.01054,-0.1341
0.912,0.01053,-0.1292
1.0062,0.01052,-0.1239
1.0971,0.01325,-0.1195
1.1817,0.01827,-0.1152
1.2705,0.02316,-0.1108
1.3623,0.02951,-0.1066
1.4676,0.05095,-0.0936
1.407,0.06905,-0.0826
1.3169,0.09612,-0.0936
0.58,0.0104,-0.1362
0.7046,0.00994,-0.1364
0.8099,0.00956,-0.1325
0.9108,0.00988,-0.1283
1.0087,0.01088,-0.1245
1.0982,0.01278,-0.1202
1.1863,0.01722,-0.1163
1.2769,0.02138,-0.112
1.3656,0.02778,-0.1077
1.4466,0.03254,-0.1033
1.5011,0.04151,-0.0965
1.4574,0.0605,-0.0844
1.3809,0.08134,-0.0856
0.5914,0.00906,-0.1374
0.7051,0.00896,-0.1354
0.8086,0.00892,-0.1315
0.9098,0.00943,-0.1277
1.0084,0.01064,-0.1244
1.0994,0.01244,-0.1208
1.1917,0.0161,-0.1173
1.2817,0.02006,-0.1131
1.3708,0.02488,-0.1088
1.4543,0.02868,-0.105
1.5112,0.03824,-0.098
1.541,0.04689,-0.0897
1.4803,0.06282,-0.0808
0.5777,0.01265,-0.1393
0.7009,0.01154,-0.1389
0.8053,0.01114,-0.1348
0.9075,0.01125,-0.1307
1.0077,0.01183,-0.1267
1.1004,0.01292,-0.1224
1.1873,0.01742,-0.1185
1.2747,0.0223,-0.1138
1.3641,0.02864,-0.1094
1.4443,0.03653,-0.1046
1.4939,0.04602,-0.0978
1.4449,0.06574,-0.0865
0.5899,0.01082,-0.14
0.6991,0.01025,-0.1369
0.8032,0.01014,-0.1333
0.9065,0.0104,-0.1298
1.0071,0.01125,-0.1264
1.1012,0.01235,-0.1229
1.1916,0.0164,-0.1195
1.2791,0.02108,-0.115
1.3671,0.02724,-0.1107
1.4482,0.03351,-0.1061
1.5055,0.04164,-0.0993
1.512,0.05301,-0.0899
1.4351,0.07163,-0.0843
0.5911,0.00969,-0.1391
0.6972,0.00937,-0.1357
0.8019,0.00947,-0.1325
0.906,0.00985,-0.1294
1.0071,0.01084,-0.1264
1.1048,0.01277,-0.1239
1.2866,0.01941,-0.1162
1.3735,0.02462,-0.1116
1.4573,0.02918,-0.1074
1.5243,0.0352,-0.1016
1.5505,0.04544,-0.0926
1.5184,0.0572,-0.0829
0.8026,0.017,-0.1913
0.9476,0.01261,-0.1949
1.0588,0.01243,-0.1917
1.1648,0.01174,-0.1879
1.2659,0.01185,-0.1836
1.356,0.01276,-0.1779
1.4366,0.01556,-0.1717
1.5108,0.01945,-0.1654
1.5775,0.02424,-0.1581
1.6399,0.02956,-0.1501
1.7047,0.03607,-0.1429
1.7628,0.04473,-0.1357
1.7778,0.05309,-0.1239
0.7989,0.01933,-0.1881
0.9577,0.01065,-0.1945
1.0636,0.01079,-0.1908
1.167,0.01055,-0.1871
1.2662,0.01113,-0.1831
1.3557,0.01209,-0.1778
1.4385,0.01488,-0.1723
1.5171,0.01845,-0.1669
1.5881,0.02277,-0.1601
1.652,0.02751,-0.1523
1.7056,0.03335,-0.1434
1.7527,0.03969,-0.134
1.7771,0.04901,-0.1241
0.8441,0.01178,-0.1952
0.9599,0.00965,-0.1935
1.0651,0.00977,-0.1901
1.1678,0.00983,-0.1866
1.2656,0.01067,-0.1827
1.3556,0.01167,-0.1779
1.4407,0.01439,-0.173
1.5222,0.01771,-0.168
1.599,0.02135,-0.162
1.6656,0.02567,-0.1545
1.7167,0.03097,-0.145
1.7559,0.03827,-0.1349
1.7819,0.04432,-0.1248
0.8456,0.01274,-0.197
0.9553,0.01299,-0.1935
1.0621,0.01241,-0.1902
1.1668,0.01221,-0.1867
1.2682,0.01273,-0.183
1.3617,0.01318,-0.1784
1.4506,0.01536,-0.1734
1.5327,0.01828,-0.1681
1.6053,0.02219,-0.1618
1.6657,0.02712,-0.1538
1.7107,0.033,-0.1437
1.752,0.03996,-0.1341
1.7899,0.04899,-0.1259
0.8512,0.01098,-0.1959
0.9579,0.01129,-0.1923
1.064,0.01105,-0.1893
1.1678,0.01116,-0.186
1.268,0.01186,-0.1825
1.3643,0.01305,-0.1788
1.4526,0.01453,-0.174
1.6141,0.0209,-0.1636
1.6798,0.02527,-0.1562
1.723,0.03083,-0.1457
1.7554,0.03776,-0.135
1.787,0.04476,-0.1261
0.852,0.00997,-0.1947
0.9593,0.01014,-0.1917
1.0648,0.01017,-0.1888
1.1683,0.01049,-0.1857
1.2682,0.0113,-0.1823
1.3649,0.01257,-0.1789
1.4549,0.01393,-0.1746
1.5419,0.01658,-0.1703
1.6215,0.01992,-0.165
1.6899,0.02406,-0.158
1.7435,0.02855,-0.1488
1.7713,0.03464,-0.137
1.7924,0.04313,-0.1272
0.4132,0.01104,-0.0443
0.5169,0.01142,-0.0433
0.6186,0.01182,-0.0419
0.7171,0.01219,-0.0399
0.813,0.01274,-0.0375
0.9021,0.01367,-0.034
0.9821,0.01533,-0.0295
1.0552,0.01766,-0.0245
1.1233,0.0198,-0.0189
1.134,0.02491,-0.0067
1.1439,0.03158,0.0009
1.1484,0.04051,0.0053
1.1634,0.04954,0.0086
0.3824,0.01017,-0.0376
0.5148,0.01046,-0.0426
0.6174,0.01072,-0.0415
0.7168,0.01111,-0.0397
0.8128,0.01175,-0.0375
0.903,0.0127,-0.0343
0.9807,0.01475,-0.0298
1.0579,0.01671,-0.0252
1.1326,0.01833,-0.0205
1.1445,0.02352,-0.008
1.1573,0.02976,-0.0002
1.1555,0.03915,0.0045
1.1715,0.04802,0.0067
0.3334,0.00923,-0.0277
0.5141,0.00976,-0.0423
0.6169,0.00999,-0.0413
0.7171,0.01041,-0.0398
0.8138,0.01104,-0.0377
0.9016,0.01233,-0.0345
0.9822,0.01424,-0.0303
1.0627,0.01588,-0.0262
1.1375,0.01756,-0.0216
1.1518,0.02257,-0.009
1.1598,0.02905,-0.0004
1.1748,0.03688,0.0032
1.1732,0.0473,0.0064
0.4913,0.01032,-0.0999
0.5899,0.01056,-0.0963
0.689,0.01094,-0.0929
0.7883,0.01149,-0.0895
0.8861,0.01226,-0.0862
0.9808,0.01322,-0.0825
1.0728,0.0144,-0.0786
1.163,0.01579,-0.0748
1.2459,0.01729,-0.0699
1.3108,0.0193,-0.0625
1.337,0.02351,-0.0507
1.3682,0.02871,-0.0421
1.4093,0.03379,-0.036
0.4615,0.00917,-0.0927
0.5919,0.00937,-0.096
0.6903,0.00979,-0.0925
0.7885,0.01037,-0.0892
0.8853,0.01112,-0.0857
0.9795,0.0121,-0.082
1.0724,0.01328,-0.0785
1.1634,0.01458,-0.0748
1.2481,0.01603,-0.0703
1.314,0.01811,-0.0631
1.3444,0.02238,-0.0521
1.3807,0.02709,-0.044
1.4186,0.03228,-0.0378
0.434,0.00852,-0.0873
0.5924,0.0086,-0.0957
0.6907,0.00902,-0.0924
0.7883,0.00961,-0.0889
0.8846,0.01038,-0.0855
0.9791,0.01137,-0.082
1.0732,0.0125,-0.0786
1.165,0.01374,-0.0752
1.2513,0.01516,-0.0709
1.3171,0.01738,-0.0638
1.3534,0.02144,-0.0535
1.3912,0.02596,-0.0455
1.4286,0.0311,-0.0392
0.0,0.0105,-0.0
0.1026,0.01051,0.0033
0.2065,0.01054,0.0068
0.3675,0.0112,-0.0017
0.514,0.01179,-0.0094
0.6036,0.01263,-0.0052
0.6966,0.01363,-0.0014
0.7889,0.01479,0.0023
0.8744,0.01694,0.0063
0.9406,0.02133,0.0122
0.9952,0.02656,0.0191
1.035,0.0326,0.0265
1.0477,0.04081,0.0326
0.0,0.00966,-0.0
0.1047,0.00967,0.0026
0.2076,0.00968,0.0058
0.347,0.01006,0.0018
0.516,0.01074,-0.01
0.6052,0.01147,-0.0057
0.699,0.01243,-0.0021
0.7919,0.01363,0.0015
0.8789,0.0158,0.0053
0.9489,0.01982,0.011
1.0044,0.02458,0.0178
1.039,0.03013,0.026
1.0568,0.03657,0.0316
0.0,0.00908,-0.0
0.1062,0.00909,0.0021
0.2105,0.00909,0.0048
0.3311,0.00929,0.0045
0.6072,0.01068,-0.0063
0.7014,0.01162,-0.0027
0.7951,0.01281,0.0007
0.8825,0.01499,0.0046
0.9542,0.01883,0.0101
1.0201,0.02259,0.016
1.0579,0.02738,0.0242
1.0636,0.03482,0.0311
-0.0,0.01224,-0.0
0.1084,0.01225,0.0015
0.2158,0.01233,0.0033
0.3204,0.0124,0.0059
0.4407,0.01265,0.006
0.6261,0.01333,-0.0085
0.7143,0.01399,-0.0046
0.805,0.01486,-0.0005
0.8936,0.01604,0.0036
0.9745,0.01804,0.0081
1.0306,0.02202,0.0146
1.0438,0.02759,0.0249
1.0502,0.03522,0.0293
-0.0,0.01113,-0.0
0.1095,0.01119,0.0012
0.2182,0.01121,0.0026
0.3246,0.01129,0.0046
0.4298,0.01138,0.0074
0.5995,0.01198,-0.0035
0.716,0.0126,-0.005
0.8077,0.01346,-0.0011
0.8977,0.01468,0.0028
0.9806,0.01677,0.007
1.0411,0.02054,0.0132
1.0606,0.02567,0.0234
1.0644,0.03306,0.0284
0.0,0.01036,-0.0
0.1101,0.01041,0.001
0.2197,0.01044,0.0022
0.3276,0.01052,0.0038
0.4317,0.01057,0.0065
0.5841,0.01096,-0.0007
0.7185,0.01163,-0.0056
0.8105,0.01255,-0.0017
0.9013,0.0138,0.002
0.9849,0.01592,0.0062
1.0497,0.01945,0.0121
1.0815,0.02397,0.0213
1.083,0.03088,0.0277
-0.0,0.01124,0.0
0.1069,0.01124,0.0013
0.213,0.01124,0.0032
0.3218,0.01122,0.0049
0.4647,0.01132,-0.0003
0.631,0.01136,-0.0113
0.6932,0.01407,-0.0049
0.7407,0.01854,0.0052
0.8021,0.02347,0.0129
0.8714,0.032,0.0184
0.9002,0.04215,0.0272
0.8487,0.05548,0.0366
0.788,0.074,0.0322
-0.0,0.01005,0.0
0.1088,0.01005,0.0009
0.2162,0.01002,0.0023
0.3219,0.00996,0.0043
0.4444,0.00997,0.0033
0.5989,0.01037,-0.0053
0.7484,0.01729,0.0035
0.8086,0.02142,0.0116
0.8756,0.02719,0.0179
0.9176,0.0386,0.0248
0.8995,0.04862,0.0355
0.7818,0.07205,0.0305
-0.0,0.00924,0.0
0.1098,0.00923,0.0006
0.2185,0.00921,0.0017
0.325,0.00914,0.0033
0.4345,0.00907,0.0049
0.5806,0.0097,-0.0021
0.6984,0.01294,-0.0068
0.7556,0.01631,0.0021
0.8136,0.02048,0.0107
0.8767,0.02622,0.0174
0.9246,0.03479,0.0248
0.8939,0.04658,0.0361
0.8237,0.06385,0.0341
0.3398,0.00972,-0.0678
0.4472,0.01028,-0.0668
0.5555,0.01088,-0.066
0.6637,0.01147,-0.0651
0.771,0.01193,-0.0638
0.8774,0.01219,-0.062
0.9786,0.01218,-0.0591
1.0477,0.01591,-0.0533
1.0926,0.02268,-0.0451
1.1341,0.0285,-0.0364
1.207,0.03759,-0.0318
1.2265,0.05081,-0.0232
1.172,0.0669,-0.0189
0.3356,0.00864,-0.0661
0.4438,0.00909,-0.0653
0.553,0.0096,-0.0646
0.6619,0.01008,-0.0638
0.7702,0.01045,-0.0628
0.8774,0.01074,-0.0614
0.9773,0.01114,-0.0587
1.0426,0.016,-0.0533
1.0981,0.02169,-0.046
1.1434,0.02722,-0.0375
1.2079,0.03578,-0.0317
1.2328,0.04642,-0.0241
1.1913,0.06244,-0.0193
0.3331,0.0079,-0.0651
0.4419,0.00829,-0.0644
0.5514,0.00873,-0.0638
0.6608,0.00913,-0.0631
0.7697,0.00947,-0.0622
0.8773,0.00979,-0.0611
0.9757,0.01065,-0.0585
1.0377,0.01628,-0.053
1.1092,0.02033,-0.0475
1.1537,0.0257,-0.0389
1.2048,0.03327,-0.0318
1.2484,0.04432,-0.0261
1.1989,0.06071,-0.0191
0.4191,0.01007,-0.0875
0.5192,0.01064,-0.0852
0.6216,0.01131,-0.0833
0.7258,0.01201,-0.0817
0.8295,0.01261,-0.0799
0.9316,0.01303,-0.0775
1.0314,0.01331,-0.0746
1.1176,0.01363,-0.0691
1.1612,0.01745,-0.0586
1.1582,0.02418,-0.043
1.1664,0.03102,-0.0327
1.1912,0.03856,-0.0265
1.2511,0.04689,-0.0215
0.4173,0.00898,-0.0864
0.5187,0.00947,-0.0843
0.6217,0.01,-0.0825
0.7257,0.01057,-0.0809
0.8297,0.01107,-0.0791
0.9328,0.01146,-0.077
1.0315,0.0118,-0.0741
1.1163,0.01267,-0.0688
1.1564,0.01721,-0.0584
1.1668,0.02302,-0.0441
1.1812,0.02913,-0.0341
1.2043,0.03628,-0.0279
1.245,0.04404,-0.0226
0.4165,0.00824,-0.0859
0.5181,0.00866,-0.0838
0.6213,0.00912,-0.082
0.7255,0.00961,-0.0804
0.8296,0.01004,-0.0787
0.9327,0.01044,-0.0767
1.0304,0.01083,-0.0737
1.1128,0.01225,-0.0684
1.1544,0.01701,-0.0585
1.1739,0.02218,-0.0451
1.1968,0.02746,-0.0356
1.2123,0.03499,-0.0285
1.2476,0.04273,-0.0232
0.2803,0.01191,-0.059
0.4215,0.01225,-0.0638
0.5996,0.01259,-0.0786
0.6873,0.01318,-0.0747
0.7796,0.01388,-0.0713
0.8767,0.01429,-0.0683
0.9745,0.01444,-0.0651
1.0683,0.01445,-0.0611
1.1492,0.01488,-0.055
1.1747,0.01789,-0.0413
1.1575,0.02366,-0.0256
1.1539,0.03144,-0.0176
1.134,0.04259,-0.0121
0.2863,0.01064,-0.0601
0.4044,0.01072,-0.0601
0.585,0.01107,-0.0746
0.6925,0.01149,-0.0748
0.7855,0.01196,-0.0714
0.8818,0.0123,-0.0682
0.9787,0.01251,-0.065
1.0709,0.01277,-0.061
1.1482,0.01367,-0.0547
1.1635,0.01744,-0.0398
1.1613,0.02274,-0.0262
1.1608,0.03029,-0.0182
1.1517,0.04033,-0.013
0.2897,0.0098,-0.0607
0.3969,0.0097,-0.0586
0.5619,0.01005,-0.0695
0.6944,0.01035,-0.0747
0.7879,0.01073,-0.0713
0.8841,0.01105,-0.0682
0.9798,0.01131,-0.0649
1.0718,0.01172,-0.061
1.1446,0.01307,-0.0541
1.158,0.01715,-0.0392
1.1678,0.02189,-0.027
1.1659,0.02945,-0.0186
1.1652,0.03865,-0.0136
0.4616,0.01087,-0.0671
0.5513,0.01135,-0.0635
0.6462,0.01202,-0.0603
0.7427,0.01271,-0.0573
0.8395,0.0133,-0.0541
0.9341,0.0138,-0.0504
1.0256,0.01423,-0.0462
1.1064,0.01512,-0.0404
1.1475,0.0187,-0.0299
1.1596,0.0235,-0.0169
1.1555,0.03071,-0.0071
1.1437,0.04121,-0.0026
0.27,0.0095,-0.05
0.4612,0.00984,-0.0666
0.5519,0.01021,-0.0632
0.6472,0.01073,-0.0601
0.7438,0.01128,-0.057
0.84,0.01181,-0.0538
0.9347,0.01227,-0.0502
1.0263,0.01283,-0.0461
1.107,0.01405,-0.0406
1.1481,0.01797,-0.0304
1.1725,0.02209,-0.0186
1.166,0.0292,-0.0079
1.1595,0.039,-0.0034
0.2538,0.00868,-0.047
0.5525,0.00941,-0.0631
0.6475,0.00984,-0.06
0.744,0.01031,-0.0569
0.8404,0.0108,-0.0537
0.9352,0.01127,-0.0502
1.0271,0.01192,-0.0463
1.1056,0.01349,-0.0406
1.1505,0.0174,-0.0311
1.1829,0.02107,-0.02
1.1777,0.02782,-0.0086
1.1696,0.03752,-0.0038
0.5415,0.01218,-0.1232
0.6468,0.01247,-0.1216
0.7433,0.01268,-0.1178
0.8619,0.01307,-0.1196
0.9722,0.01403,-0.12
1.0803,0.01503,-0.1196
1.1831,0.01592,-0.118
1.2777,0.01673,-0.1149
1.3638,0.01747,-0.11
1.4336,0.01843,-0.1024
1.4704,0.02018,-0.0895
1.4715,0.0247,-0.0743
1.4457,0.03338,-0.0621
0.5455,0.01108,-0.124
0.6525,0.01135,-0.1228
0.7554,0.0116,-0.1207
0.8632,0.01178,-0.1194
0.9736,0.01256,-0.1198
1.0805,0.01341,-0.1192
1.1821,0.01418,-0.1174
1.2767,0.01493,-0.1142
1.3625,0.01575,-0.1094
1.4305,0.01683,-0.1015
1.4693,0.01893,-0.0893
1.4703,0.02394,-0.0746
1.4538,0.03221,-0.0633
0.5474,0.01032,-0.1244
0.6554,0.01059,-0.1234
0.761,0.01084,-0.122
0.8621,0.01085,-0.119
0.9734,0.01156,-0.1196
1.0805,0.01232,-0.1189
1.1817,0.01304,-0.1171
1.2757,0.01376,-0.1138
1.3609,0.0146,-0.109
1.4283,0.01578,-0.101
1.4682,0.01822,-0.0893
1.4699,0.02351,-0.0749
1.4625,0.03119,-0.0644
0.4029,0.01143,-0.1087
0.5376,0.01029,-0.1103
0.6497,0.0095,-0.1076
0.7739,0.00991,-0.1098
0.8797,0.0108,-0.1079
0.9756,0.01214,-0.1042
1.0621,0.01402,-0.0993
1.1388,0.0168,-0.0936
1.2053,0.02094,-0.087
1.2434,0.02684,-0.0754
1.2845,0.03324,-0.066
1.3379,0.04128,-0.0596
1.3585,0.05274,-0.0521
0.4461,0.00943,-0.1162
0.5688,0.00888,-0.1163
0.663,0.00869,-0.1101
0.7773,0.009,-0.11
0.8819,0.00998,-0.1082
0.9781,0.01134,-0.1049
1.0644,0.01334,-0.1003
1.1457,0.01608,-0.0955
1.2111,0.0205,-0.0885
1.262,0.02516,-0.0787
1.2968,0.03121,-0.0682
1.3425,0.03869,-0.0606
1.3656,0.04937,-0.0531
0.4648,0.00831,-0.1194
0.5852,0.00804,-0.1195
0.6824,0.00815,-0.1145
0.7788,0.00841,-0.1101
0.8835,0.00943,-0.1086
0.9802,0.01082,-0.1055
1.068,0.01288,-0.1014
1.1515,0.0156,-0.097
1.2188,0.01991,-0.0901
1.2759,0.02403,-0.0812
1.314,0.02915,-0.0707
1.3488,0.03705,-0.062
1.3753,0.04629,-0.0546
0.6758,0.01454,-0.178
0.8279,0.0127,-0.1835
0.9419,0.01139,-0.1816
1.0813,0.0114,-0.1866
1.1945,0.01209,-0.1861
1.2901,0.01331,-0.1821
1.3713,0.01501,-0.1756
1.4365,0.01726,-0.1665
1.4838,0.0204,-0.155
1.5234,0.02474,-0.1438
1.5547,0.03047,-0.1331
1.5463,0.04057,-0.12
1.542,0.05199,-0.1113
0.7292,0.01156,-0.1869
0.8734,0.0105,-0.1918
0.9816,0.00994,-0.189
1.0967,0.01013,-0.189
1.2014,0.01105,-0.1871
1.2923,0.01238,-0.1824
1.372,0.01411,-0.1758
1.4356,0.0164,-0.1666
1.4876,0.01962,-0.1562
1.5346,0.02375,-0.1463
1.5645,0.02968,-0.1352
1.5674,0.03861,-0.1228
1.565,0.04937,-0.114
0.7674,0.00979,-0.1938
0.9026,0.00923,-0.1974
1.0117,0.00916,-0.1953
1.1026,0.00938,-0.1899
1.2044,0.0104,-0.1875
1.2936,0.01176,-0.1827
1.3723,0.01353,-0.176
1.4366,0.01587,-0.1671
1.4939,0.01906,-0.1578
1.5444,0.02306,-0.1483
1.5711,0.02925,-0.1366
1.5849,0.03706,-0.1251
1.5956,0.04611,-0.1167
0.3225,0.01266,-0.0527
0.4178,0.01287,-0.0504
0.5145,0.01306,-0.0476
0.6122,0.01328,-0.0451
0.7102,0.01327,-0.042
0.8089,0.01296,-0.0386
0.9051,0.0126,-0.0348
0.9918,0.01316,-0.0299
1.0416,0.01657,-0.0208
1.0622,0.02083,-0.0084
1.0509,0.02644,0.0058
1.0589,0.03349,0.0141
1.0876,0.04036,0.0201
0.3169,0.01116,-0.05
0.4129,0.01121,-0.0477
0.5115,0.01132,-0.0455
0.6113,0.01137,-0.0433
0.7112,0.01135,-0.0408
0.8109,0.01119,-0.038
0.908,0.01113,-0.0349
0.9921,0.01234,-0.03
1.0437,0.01588,-0.0217
1.0732,0.01971,-0.0103
1.0646,0.02488,0.0044
1.0674,0.03204,0.013
1.0888,0.03891,0.0187
0.3017,0.01025,-0.0461
0.4109,0.01013,-0.0465
0.51,0.01017,-0.0443
0.6108,0.01019,-0.0424
0.7118,0.01015,-0.0402
0.8123,0.01007,-0.0378
0.9098,0.01023,-0.035
0.9912,0.01197,-0.0302
1.0468,0.01536,-0.0225
1.0825,0.01889,-0.0118
1.0763,0.02369,0.0032
1.0889,0.02983,0.0111
1.1041,0.03686,0.0169
0.2211,0.0094,-0.0316
0.3186,0.00962,-0.0285
0.4177,0.00996,-0.0256
0.5175,0.01038,-0.0228
0.6171,0.01093,-0.02
0.7152,0.01163,-0.0171
0.81,0.01261,-0.0138
0.897,0.01436,-0.0099
0.9726,0.01745,-0.0051
1.0187,0.02333,0.0035
1.0637,0.03007,0.0115
1.1079,0.03709,0.0187
1.1077,0.04761,0.0254
0.2173,0.00855,-0.0303
0.3157,0.00871,-0.0275
0.4161,0.00898,-0.025
0.5166,0.00938,-0.0224
0.6169,0.0099,-0.0199
0.7158,0.0106,-0.0172
0.8114,0.01161,-0.0142
0.8989,0.01351,-0.0106
0.9762,0.01653,-0.0059
1.0256,0.022,0.0025
1.073,0.02704,0.0105
1.1069,0.0347,0.0186
1.1141,0.04451,0.0251
0.2155,0.00796,-0.0297
0.3144,0.00808,-0.027
0.4154,0.00831,-0.0247
0.5166,0.00868,-0.0224
0.6175,0.00919,-0.02
0.7167,0.00991,-0.0175
0.8129,0.01094,-0.0147
0.9007,0.01294,-0.0111
0.978,0.01601,-0.0065
1.0372,0.02049,0.0009
1.0793,0.02579,0.0097
1.1111,0.03167,0.0185
1.13,0.03991,0.0242
0.2252,0.00956,-0.0527
0.4172,0.00908,-0.0679
0.5008,0.00915,-0.0622
0.5916,0.0096,-0.0573
0.6867,0.01034,-0.0533
0.7801,0.01146,-0.0493
0.8689,0.01315,-0.0451
0.9484,0.01593,-0.0404
1.016,0.02031,-0.034
1.0778,0.02561,-0.0268
1.1407,0.03251,-0.0209
1.1679,0.04168,-0.0118
